key,issuetype,status,resolution,assignee_name,assignee_accountId,parent_key,labels,reporter_name,created,summary
CDM-691,Subtask,To Do,,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-145,,Tony Wu,2026-04-30,Update LTFU Clean Status to Account for Sub-Solid Nodule Subjects
CDM-692,Subtask,Done,Done,,,CDM-673,,Eric Dixon,2026-04-30,"Add columns for data entry completed (count & percent), percent for completed per protocol cols, suspicious nodule cols, and Add new sheet for site 1037 sub sites."
CDM-693,Subtask,To Do,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-673,,Eric Dixon,2026-05-06,Update columns `Number of participants with LTFUV D912 Data Entered` & `Number of participants with LTFUV D912 Completed Per Protocol`
CDM-694,Subtask,To Do,,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-145,,Eric Dixon,2026-05-06,Update ltfu_expected_flag in the CPT so that lung cancer diagnoses are noted as not requiring LTFU Visits
CDM-695,Subtask,In Progress,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-145,,Eric Dixon,2026-05-06,Add columns to the Sites sheet that summarizes counts and percents of the LTFU Visit Completion Cases
CDM-696,Subtask,To Do,,,,CDM-673,,Eric Dixon,2026-05-07,Correct enrolled counts and ltfu completed counts per site
CDM-697,Task,In Progress,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,CDM-Tools,Eric Dixon,2026-05-11,DELFI-L201: Medical Monitoring Non-Cancer Case Review
CDM-698,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,,Eric Dixon,2026-05-15,DELFI-L201: Ad Hoc TRB Request - Distribution of LTFU Record dates between 22-24 months
CDM-699,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,,Eric Dixon,2026-05-15,DELFI-L201 Ad Hoc TRB Request - Distribution of the Last Known Alive Date provided on Disposition Form
CDM-700,Task,To Do,,,,CDM-80,,Eric Dixon,2026-05-15,DELFI-L201: Ad Hoc TRB Request - Distribution of suspected lung cancers by Time from Enrollment CT to Lung Cancer Dx
CDM-701,Task,To Do,,,,CDM-80,,Eric Dixon,2026-05-15,DELFI-L201: Ad Hoc TRB Request - Distribution of confirmed lung cancers by Time from Enrollment CT to Lung Cancer Dx 
CDM-702,Task,To Do,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,,Eric Dixon,2026-05-15,DELFI-L201: Ad Hoc TRB Request - LDCT prior to enrollment 
CDM-703,Subtask,To Do,,,,CDM-610,,Eric Dixon,2026-05-19,Update referenced variable names and values pulled in from the clario_latest_raw file for LTFU sheets
CDM-704,Task,To Do,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,,Payam Khodabakhshi,2026-05-20,New variables to be added to ADSL
CDM-705,Task,To Do,,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-80,,Tony Wu,2026-05-20,DELFI-L201: Ad Hoc TRB Request- Confirmation of self-reported Lung cancer
CDM-706,Task,Done,Done,Alissa Konicki,63067d409278161d1937ce75,CDM-80,,Daniel Civello,2026-05-21,TRB-006	Age x Sex x Smoking history distribution
